timestamp,step,operation,latency_ms,success,data_size,extra
1776377200.490693,0,access_control,26.162,True,0,TTuru_Soola
1776377200.6183717,0,log_decision,127.513,True,0,TTuru_Soola
1776377200.7358658,0,access_control,26.82,True,0,TRiia_Turu
1776377200.7873456,0,access_control,39.358,True,0,TTuru_Aida
1776377200.9317977,0,access_control,21.848,True,0,TRiia_Kalevi
1776377200.9635413,0,log_decision,175.949,True,0,TTuru_Aida
1776377201.0331092,0,log_decision,101.191,False,0,"{'message': ""VM Exception while processing transaction: the tx doesn't have the correct nonce. account has nonce of: 127 tx has nonce of: 126 (vm hf=shanghai -> block -> tx)"", 'stack': ""RuntimeError: VM Exception while processing transaction: the tx doesn't have the correct nonce. account has nonce of: 127 tx has nonce of: 126 (vm hf=shanghai -> block -> tx)\n    at Miner.<anonymous> (C:\\Users\\javed\\AppData\\Local\\npm-cache\\_npx\\7399d9d513db3449\\node_modules\\ganache\\dist\\node\\1.js:2:176352)\n    at async Miner.<anonymous> (C:\\Users\\javed\\AppData\\Local\\npm-cache\\_npx\\7399d9d513db3449\\node_modules\\ganache\\dist\\node\\1.js:2:174660)\n    at async Miner.<anonymous> (C:\\Users\\javed\\AppData\\Local\\npm-cache\\_npx\\7399d9d513db3449\\node_modules\\ganache\\dist\\node\\1.js:2:173310)\n    at async Miner.mine (C:\\Users\\javed\\AppData\\Local\\npm-cache\\_npx\\7399d9d513db3449\\node_modules\\ganache\\dist\\node\\1.js:2:177695)\n    at async Blockchain.mine (C:\\Users\\javed\\AppData\\Local\\npm-cache\\_npx\\7399d9d513db3449\\node_modules\\ganache\\dist\\node\\1.js:2:87561)\n    at async Promise.all (index 0)\n    at async TransactionPool.emit (C:\\Users\\javed\\AppData\\Local\\npm-cache\\_npx\\7399d9d513db3449\\node_modules\\ganache\\node_modules\\emittery\\index.js:303:3)"", 'code': -32000, 'name': 'RuntimeError', 'data': {'hash': '0x4a879bf250ce411cc8b5e658af4b0627eb9ed104bbd0ccaff95e90782dde525a', 'programCounter': 0, 'result': '0x4a879bf250ce411cc8b5e658af4b0627eb9ed104bbd0ccaff95e90782dde525a', 'reason': None, 'message': ""the tx doesn't have the correct nonce. account has nonce of: 127 tx has nonce of: 126 (vm hf=shanghai -> block -> tx)""}}"
1776377215.5801504,0,access_control,50.402,True,0,TTuru_Soola
1776377215.7183783,0,log_decision,138.047,True,0,TTuru_Soola
1776377220.031751,0,access_control,53.483,True,0,TTuru_Aida
1776377220.1527166,0,log_decision,120.837,True,0,TTuru_Aida
1776377220.4226396,0,access_control,23.776,True,0,TRiia_Kalevi
1776377220.5870485,0,log_decision,164.272,True,0,TRiia_Kalevi
1776377230.6973608,0,access_control,40.931,True,0,TTuru_Soola
1776377230.8206167,0,log_decision,123.136,True,0,TTuru_Soola
1776377231.0111632,0,log_decision,30275.156,True,0,TRiia_Turu
1776377236.793827,0,access_control,42.878,True,0,TRiia_Turu
1776377236.9215415,0,log_decision,127.566,True,0,TRiia_Turu
1776377239.3387315,0,access_control,43.256,True,0,TRiia_Kalevi
1776377239.4609578,0,log_decision,122.028,True,0,TRiia_Kalevi
1776377252.3196018,0,access_control,64.571,True,0,TRiia_Turu
1776377252.4557645,0,log_decision,135.976,True,0,TRiia_Turu
1776377255.2342892,0,access_control,22.229,True,0,TTuru_Soola
1776377255.3507204,0,log_decision,116.303,True,0,TTuru_Soola
1776377257.4995732,0,access_control,20.13,True,0,TTuru_Aida
1776377257.6308436,0,log_decision,131.109,True,0,TTuru_Aida
1776377258.2146268,0,access_control,43.422,True,0,TRiia_Kalevi
1776377258.3326826,0,log_decision,117.896,True,0,TRiia_Kalevi
